"call","sample_name","Proposal_ID","Sampling_Set","Core","sampling_set","agrochem_addition","annual_precpt","annual_temp","bulk_elect_conductivity","chem_administration","collection_date","collection_time","crop_rotation","cur_land_use","cur_vegetation","depth","drainage_class","ecoregion","elev","env_broad_scale","env_local_scale","env_medium","extreme_event","fao_class","fire","flooding","geo_loc_name","growth_facil","infiltration_1","infiltration_2","infiltration_notes","lat_lon","link_climate_info","misc_param","other","other_treatment","neon_plot_id","previous_land_use","previous_land_use_meth","samp_store_temp","sample_collection_dev","season_precpt","season_temp","shipped_sample_size","slope_aspect","slope_gradient","soil_type","soil_type_meth","storage_condt","temp","tillage","water_content","watering_regm","weather"
"FY23","60846_17_C3","60846","17","C3",17,"","1370 mm","18.5 C","0.015 mS/cm","untreated","8/21/23","08:35:00 hh:mm:ss","","conifers","Loblolly pine, recent harvest","0-10 cm","Somewhat_Poorly","Southeast","7.27 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","04:07 mm:ss","07:59 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.6 C","","did not collect","untreated",""
"FY23","60846_17_C4","60846","17","C4",17,"","1370 mm","18.5 C","0.015 mS/cm","untreated","8/21/23","08:40:00 hh:mm:ss","","conifers","Loblolly pine, recent harvest","0-10 cm","Somewhat_Poorly","Southeast","7.27 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","04:07 mm:ss","07:59 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.6 C","","did not collect","untreated",""
"FY23","60846_2_A","60846","2","A",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:20:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-30 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_2_B","60846","2","B",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:30:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-30 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_2_C1","60846","2","C1",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:15:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-10 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_2_C2","60846","2","C2",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:20:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-10 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_2_C3","60846","2","C3",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:25:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-10 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_2_C4","60846","2","C4",2,"","1370 mm","18.5 C","0.043 mS/cm","untreated","8/21/23","09:30:00 hh:mm:ss","","conifers","Loblolly pine, mature forest","0-10 cm","Somewhat_Poorly","Southeast","7.28 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","05:11 mm:ss","11:03 mm:ss","","33.1398, -79.7764","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","28.3 C","","did not collect","untreated",""
"FY23","60846_5_A","60846","5","A",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:10:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-30 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_5_B","60846","5","B",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:20:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-30 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_5_C1","60846","5","C1",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:10:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-10 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_5_C2","60846","5","C2",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:15:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-10 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_5_C3","60846","5","C3",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:20:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-10 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_5_C4","60846","5","C4",5,"","1370 mm","18.5 C","0.074 mS/cm","untreated","8/21/23","10:25:00 hh:mm:ss","","hardwoods","Bottomland Harwoods","0-10 cm","Poorly","Southeast","5.78 m","__subtropical woodland biome [ENVO:01000222]","______depressed landform [ENVO:00000309]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","11:07 mm:ss","58:19 mm:ss","","33.1402, -79.7788","Forest Service Research Data Archive (usda.gov)","","soil type: Bethera, Berkeley County, SC Soil Survey; flooding: regularly flooded","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","27.5 C","","did not collect","untreated",""
"FY23","60846_7_A","60846","7","A",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:30:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-30 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60846_7_B","60846","7","B",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:40:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-30 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60846_7_C1","60846","7","C1",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:25:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-10 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60846_7_C2","60846","7","C2",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:30:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-10 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60846_7_C3","60846","7","C3",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:35:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-10 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60846_7_C4","60846","7","C4",7,"","1370 mm","18.5 C","0.016 mS/cm","untreated","8/22/23","08:40:00 hh:mm:ss","","hardwoods","Flatwoods - Mixed pine+hardwoods","0-10 cm","Somewhat_Poorly","Southeast","9.16 m","__subtropical woodland biome [ENVO:01000222]","__plain [ENVO:00000086]","ultisol [ENVO:01001397]","","Acrisols","","","United States: South Carolina, Low Country","field","01:28 mm:ss","04:27 mm:ss","","33.1502, -79.7891","Forest Service Research Data Archive (usda.gov)","","soil type: Wahee, Berkeley County, SC Soil Survey","","","forest","","4 C","hand collected 5X10 cm","","","1 core","","","Alfisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","25.5  C","","did not collect","untreated",""
"FY23","60880_1_A","60880","1","A",1,"","","","0.185 mS/cm","","11/8/23","10:47:00 hh:mm:ss","","pastureland","Grass/Pasture","0-30 cm","","Southeast","15 m","terrestrial biome [ENVO:00000446]","____agricultural field [ENVO:00000114]","bulk soil [ENVO:00005802]","","","","","USA: Texas, Beaumont, Vamont Series","field","00:14 mm:ss","00:16 mm:ss","","30.0135, -94.5009","","","3 repetions made. Due to the swelling, time seems to increase each time.","","","","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Vertisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","32.1 C","","0.13 m3/m3","",""
"FY23","60880_1_B","60880","1","B",1,"","","","0.185 mS/cm","","11/8/23","10:47:00 hh:mm:ss","","pastureland","Grass/Pasture","0-30 cm","","Southeast","15 m","terrestrial biome [ENVO:00000446]","____agricultural field [ENVO:00000114]","bulk soil [ENVO:00005802]","","","","","USA: Texas, Beaumont, Vamont Series","field","00:14 mm:ss","00:16 mm:ss","big crack found in one of the cores, could not retrieve all of sample","30.0135, -94.5009","","","3 repetions made. Due to the swelling, time seems to increase each time.","","","","","4 C","slide hammer corer 7.5X30 cm","","","1 core","","","Vertisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","32.1 C","","0.13 m3/m3","",""
"FY23","60880_1_C1","60880","1","C1",1,"","","","0.185 mS/cm","","11/8/23","10:47:00 hh:mm:ss","","pastureland","Grass/Pasture","0-10 cm","","Southeast","15 m","terrestrial biome [ENVO:00000446]","____agricultural field [ENVO:00000114]","bulk soil [ENVO:00005802]","","","","","USA: Texas, Beaumont, Vamont Series","field","00:14 mm:ss","00:16 mm:ss","soils very very hard and one of the cores was damaged. We had to pour water in the soil to avoid damaging the cores.","30.0135, -94.5009","","","3 repetions made. Due to the swelling, time seems to increase each time.","","","","","4 C","hand collected 5X10 cm","","","1 core","","","Vertisol","https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy","fresh","32.1 C","","0.13 m3/m3","",""
